"Practise","Cost"
"B86012",164882.02
"H81010",164573.84
"B86042",164328.09
"Y03079",164317.02
"M83034",164182.82
"A84022",164153.35
"C84016",163886.03
"J83042",163781.96
"J82085",163629.51
"K83047",163593.57
"E82082",163504.27
"P81006",163496.64
"P81130",163430.66
"M83088",163399.01
"B81056",163371.43
"F82008",163360.13
"G82066",163339.78
"P81005",163326.48
"C84053",163290.41
"J82157",163194.56
"M81063",163141.25
"P81051",163120.95
"G81008",163030.13
"C85022",162966.65
"C83031",162901.99
"C81010",162711.96
"N84017",162654.13
"C85008",162628.38
"G84027",162564.96
"E82001",162526.49
"B84011",162504.35
"A88002",162486.98
"L83043",162321.71
"D82002",162315.63
"M85048",162281.84
"P81003",162097
"J82150",162050.3
"F81038",161916.37
"B81045",161853.84
"J81010",161777.11
"H81021",161761.32
"L82016",161733.46
"P84049",161717.23
"P84019",161712.9
"B83039",161646.5
"B87017",161414.22
"P81681",161377.42
"D81044",161260.13
"G82233",161220
"G81088",161171.16
"L85010",161118.91
"J82138",161029.4
"B86006",160970.05
"L84047",160943.05
"L83066",160847.78
"B87002",160834.46
"P81115",160819.25
"K81069",160815.42
"D81011",160726.81
"J81028",160695.37
"L83092",160464.37
"L83002",160237.77
"B81069",160157.62
"N84012",160151.9
"M84004",160136.33
"C83056",160133.09
"G82087",160127.37
"H81009",160044.74
"J82101",159990.06
"N82024",159832.86
"G84016",159744.66
"L81024",159717.06
"L83020",159699.6
"L82042",159688.5
"A87003",159683.35
"G82122",159681.73
"A81030",159600.76
"G82020",159411.4
"D82007",159362.99
"G82099",159360.74
"C85003",159323.05
"D83034",159244.83
"J82017",159169.27
"P81016",159085.53
"L83050",158980.08
"M85061",158975.67
"K81024",158927.53
"B81034",158924.8
"L83073",158922.01
"A83050",158893.15
"D83029",158854.22
"A86004",158608.7
"J81019",158601.13
"G82052",158547.57
"P84012",158545.47
"A81022",158487.8
"H81052",158466.15
"P81002",158221.11
"C84019",158126.34
"P86011",158015.21
"J82022",157997.63
"B82054",157896.24
"J84019",157776.66
"F81055",157668.5
"A88003",157659.03
"P88016",157509.57
"B87039",157458.35
"C87012",157364.78
"A83049",157331.94
"M82012",157274.33
"G85012",157246.34
"C83043",157227.08
"E82012",157155.56
"P81042",157145.37
"N81035",157106.34
"M83021",157017.19
"B83624",156988.38
"M85081",156866.74
"L85001",156825.02
"M84007",156802.21
"B87006",156784.88
"E82086",156748.56
"P92017",156672.86
"P87027",156579.99
"M92008",156530.56
"M88038",156433.53
"G82095",156345.5
"C85016",156285.73
"J83021",156283.59
"P81082",156143.95
"A84007",155718.98
"M84012",155692.36
"B87007",155658
"N83032",155597.45
"A89010",155508.88
"H82095",155441.98
"L82018",155420.15
"E82062",155392.18
"L83111",155281
"J82039",155189.03
"M92010",155188.86
"M85003",155115.85
"G82013",155105.75
"N81007",155061.33
"G83006",155053.52
"C83007",155011.58
"B86064",154897.48
"M84028",154792.72
"J82143",154757.93
"F81036",154723.53
"C87017",154700.93
"L81014",154686.52
"L83052",154493.18
"C87004",154491.79
"M85031",154329.54
"P82001",154236.08
"A83036",154192.31
"M83638",154151.65
"D83011",154079.69
"J83001",154018.81
"J83007",153834.39
"L81055",153742.09
"K82016",153706.58
"H82048",153692.9
"Y00445",153671.4
"A83011",153665.46
"D83057",153589.49
"J84013",153539.65
"L83089",153537.25
"L85004",153418.42
"A81006",153345.99
"J83011",153167.14
"L82006",153140.6
"K81017",153106.03
"M83074",153096.71
"C82036",153094.8
"B81065",153059.11
"Y02893",153050.22
"M84020",153026.9
"L82001",153020.47
"N81029",152898.74
"G82225",152714.87
"P81032",152546.28
"P89016",152489.86
"H82032",152377.31
"K83036",152370.78
"H83024",152365.16
"M92002",152310.68
"J82097",152298.3
"J82074",152291.71
"J82009",152272.15
"D83017",152262.93
"J81034",152173.11
"D83038",152156.1
"J82066",152131.81
"L83087",151930.21
"N85005",151926.28
"N84003",151832.66
"D82099",151698.31
"A82018",151694.88
"A86030",151647.28
"H82009",151552.77
"A89019",151319.95
"C82073",151255.66
"J82141",151117.98
"J84010",151094.03
"J82196",150882.96
"A81031",150881.22
"E83016",150872.44
"M81026",150870.95
"N83014",150857.41
"E81015",150802.14
"A83030",150771.49
"G82036",150766.9
"G82111",150748.75
"G82085",150590.05
"B86059",150496.12
"J81026",150483.33
"B81062",150367.29
"B81054",150268.18
"M81002",150232.42
"B82055",150204.74
"M82006",150197.06
"C86011",150138.88
"A81019",150071.77
"G82039",149976.42
"C87007",149936.46
"J83027",149930.37
"L82008",149923.12
"P81074",149877.84
"B82060",149828.78
"N85007",149824.44
"M92011",149797.16
"M92024",149777.22
"H82056",149765.01
"E86015",149749.14
"C81071",149601.83
"H82035",149530.34
"A82041",149515.61
"M85065",149480.9
"G81050",149392.27
"A86021",149363.58
"G81034",149348.35
"K82019",149328.22
"L82010",149201.43
"B81042",149007.26
"M83020",148935.21
"P81015",148933.82
"C87003",148874.56
"F81094",148777.99
"D82008",148690.21
"C85010",148669.8
"F81096",148652.49
"C86003",148632.73
"M81070",148487.71
"E82093",148445.15
"E82043",148414.13
"H81004",148328.68
"P87002",148297.07
"C82066",148269.84
"M83148",148257.11
"E82024",148251.5
"B86048",148246.28
"D82041",148189.78
"J82102",148148.8
"M87013",148091.07
"D83016",148014.7
"B82033",147988.07
"D83013",147977.27
"J82018",147943.46
"K82013",147863.05
"L84023",147834.85
"G82038",147717.24
"D83001",147545.83
"M91013",147491.2
"M83046",147483.58
"A82003",147482.09
"L81051",147454.67
"A85004",147423.1
"K84006",147388.23
"M84011",147241.1
"L81047",147219.89
"B86038",147196.95
"K82033",147189.63
"D81057",147172.38
"G85039",147161.3
"L82028",147135.89
"L81067",147025.71
"C81061",146905.27
"A86017",146860.68
"J84014",146738.86
"D83053",146729.17
"A83023",146679.01
"G85005",146632.59
"A81035",146626.8
"H82052",146589.56
"Y03035",146474.13
"J83031",146473.81
"L82046",146377.71
"A86008",146330.62
"P91009",146310.81
"P88020",146239.24
"G82067",146199.41
"G82048",146129.78
"K84038",146089.44
"B84001",146082.32
"E82051",146073.86
"M88007",146042.22
"F81149",146033.19
"B85015",145970.77
"P81031",145959.35
"A87005",145956.75
"C83035",145946.89
"P82003",145909.65
"M84025",145877.83
"K81030",145821.08
"L85035",145784.37
"N81056",145760.41
"M92607",145740.37
"H82063",145728.51
"C83027",145724.43
"F82013",145694.95
"K84002",145575.74
"M86015",145415.97
"G82121",145303.17
"L84033",145245.14
"P86019",145187.04
"M81046",145124.21
"M89016",145077.67
"P88015",145058.37
"B87005",145056.83
"B86033",144996.37
"C81081",144993.49
"E81057",144916.4
"E82067",144874.85
"G82019",144786.88
"A83007",144784.39
"M83071",144722.65
"J82131",144654.42
"G81017",144638.79
"K83043",144638.03
"Y01922",144612.36
"C81069",144565.2
"G84010",144509.06
"A83074",144367.71
"J82089",144236.57
"B82020",144235.68
"G83012",144109.13
"D81031",144083.14
"C86037",144035.29
"G82077",144033.47
"A83005",144003.08
"J82123",143952.27
"C82043",143934.96
"M83050",143856.63
"B87031",143808.12
"N81092",143754.86
"N81089",143750.33
"A85010",143745.47
"Y00215",143720.77
"C86013",143681.15
"K82021",143626.93
"C84037",143485.13
"B83008",143397.8
"D82040",143395.95
"B83009",143334.97
"G81102",143312.45
"F81120",143279.6
"C84026",143246.79
"P85005",143234.96
"M83049",143115.08
"B83014",143110.71
"F82011",143105.14
"E82044",143069.01
"L81025",143014.94
"N81030",142995.84
"L81022",142926.52
"F85027",142809.58
"M88006",142781.98
"M85175",142776.57
"M85019",142756.62
"M86014",142709.52
"B87027",142635.93
"C81005",142631.22
"C83044",142575.45
"C82064",142550.32
"B81007",142526.3
"B83028",142520.71
"C88016",142508.49
"D82027",142366.23
"M88616",142343.58
"G83025",142317.38
"F81128",142283.09
"D83035",142232.56
"F85004",142227.36
"P81086",142106.03
"A83001",142102.27
"J82090",142100.76
"B84008",142092.25
"P89003",142091.66
"A82027",142088.88
"P84035",142037.83
"F81133",141998.28
"B81006",141957.41
"A85005",141947.56
"D83059",141888.6
"F81144",141854.56
"M81017",141822.66
"C82063",141789.11
"C84049",141787.48
"J83009",141781.15
"M81074",141780.46
"C84002",141660.33
"C81108",141656.33
"J82112",141636.92
"J82064",141618.52
"L81019",141511.21
"K83039",141495.94
"G82074",141490.83
"P84017",141461.49
"C83054",141414.92
"P92019",141344.86
"D81061",141343.87
"L83064",141334.94
"L81026",141314.92
"H81051",141158.4
"F81018",141127.64
"C84051",141126.63
"E81038",141089.35
"H81089",141060.23
"M87018",141038.76
"M85002",140967.44
"H82016",140892.45
"N81011",140886.99
"D83014",140759.05
"A83040",140689.83
"B82012",140654.26
"B82059",140653.53
"G84006",140633.63
"C83018",140623.19
"D82104",140607.27
"B81030",140521.38
"B81050",140520.76
"B82053",140349.75
"K83015",140338.79
"D82012",140328.22
"F85029",140291.5
"M84017",140216.87
"D83040",140201.75
"E81003",140179.6
"C86007",140149.19
"B84010",140143.85
"G81035",139981.26
"N82022",139948.1
"P86006",139903.45
"H81078",139898.93
"H81060",139853.76
"H82014",139849.65
"C82017",139667.32
"B87020",139633.95
"C81054",139619.67
"L85042",139522.97
"N84024",139465.54
"J82110",139397.36
"M84036",139377.74
"M84006",139265.06
"J82098",139203.88
"P92023",139145.39
"C81014",139111.27
"C81006",139066.5
"M87007",139028.71
"C82046",138981.96
"M83042",138940.8
"B86075",138926.91
"D81043",138918.68
"G82080",138899.4
"N81073",138887.77
"P85017",138850.8
"A87007",138847.74
"G83004",138817.66
"F84122",138815.84
"K82067",138775.04
"L83028",138749.54
"C86006",138727.99
"N83003",138721.7
"G82120",138663.32
"K81078",138560.71
"J82210",138558.41
"M82056",138542.24
"B85012",138504.55
"E81008",138492.64
"C88045",138439.98
"P92014",138438.49
"N83002",138367.2
"F86004",138365.18
"P89002",138288.18
"P81025",138215.63
"L83131",138139.31
"M82003",138119.34
"M83073",138110.63
"P92008",138107.03
"P81078",138096.06
"C82014",138081.04
"E84009",138033.62
"B83006",138031.4
"L83021",138030.16
"M84037",138025.44
"L83056",137998.7
"C85023",137975.47
"M83089",137956.63
"E82031",137898.67
"G81019",137891.58
"C83015",137819.17
"L85033",137809.11
"F83059",137777.56
"P81112",137742.04
"B81092",137688.65
"M81005",137571.33
"C88026",137543.63
"D83023",137527.81
"A87013",137524.94
"P81020",137518.31
"C81021",137457.8
"P84030",137370.58
"B83010",137262.59
"K82003",137241.36
"A82036",137224.49
"J81013",137223.27
"P81077",137195.64
"L83074",137158.9
"G82118",137068.53
"L83008",137034.03
"A83015",137012.98
"P81022",136999.18
"A84026",136985.66
"C82056",136978.14
"N81070",136945.88
"N83012",136909.46
"H82026",136812.14
"E82035",136707.96
"J82134",136646.44
"C84069",136601.36
"M84021",136597.25
"M88002",136416.89
"F81079",136381
"N81052",136370.38
"N81016",136358.61
"P82031",136296.38
"N81063",136241.19
"C84055",136183.5
"A86029",136095.1
"M81021",136052.99
"G81031",136048.61
"G81036",136024.4
"G81011",136016.63
"D83018",135948.3
"P81079",135946.34
"J82117",135858.7
"F85030",135785.6
"P81069",135778.76
"B86014",135773.12
"M83056",135733.58
"C83005",135729.84
"B81031",135698.67
"B86060",135665.02
"H81037",135612.92
"K83042",135576.1
"D83039",135514.1
"D83024",135371.33
"F84031",135359.96
"A82047",135334.65
"L82009",135272.78
"L85039",135251.99
"B86020",135204.77
"B85014",135150.6
"P84020",135144.39
"B81060",135084.56
"J82051",135079.86
"A81027",135073.09
"B85025",135035.53
"N82074",134933
"C83048",134911.98
"K83025",134857.64
"F81007",134731.55
"K81014",134692.95
"E82027",134686.72
"M85083",134600.86
"J81061",134559.68
"G85024",134545.44
"D81020",134426.22
"E83021",134419.52
"A89007",134323.21
"J83016",134284.24
"D82035",134284.05
"J82021",134213.89
"M85060",134087.37
"H82055",134062.88
"C82055",134025.47
"N82090",133904.35
"M88645",133848.15
"N83024",133828.29
"C88023",133813.73
"B82001",133766.05
"N82035",133760.75
"M83009",133678.64
"H85030",133666.96
"A84005",133663.99
"E84058",133627.07
"E82025",133613.74
"C82121",133568.76
"P81040",133508.65
"L82044",133497.4
"F81041",133474.89
"A81011",133467.2
"H85653",133443.6
"H82022",133430.32
"E82060",133328.43
"K83011",133327.92
"D83052",133253.63
"L83097",133134.88
"B81051",133134.48
"F81080",133115.69
"C81009",133101.02
"P86004",133084.28
"A81032",133065.65
"E82046",133050.29
"J81009",132951.89
"F81114",132943.46
"B82037",132943.35
"H81069",132925.03
"M82035",132916.58
"C87016",132895.41
"C84009",132858.96
"L81052",132842.15
"G82693",132837.89
"E85003",132703.53
"N83021",132702.83
"C82041",132674.72
"P85010",132571.87
"P87016",132513
"D82019",132430.3
"E82022",132338.54
"E81009",132309.42
"K82054",132231.88
"P81017",132230.53
"M83038",132205.4
"M91007",132196.76
"C85013",132174.35
"J82029",132168.54
"P81092",132165.04
"L85015",132149.37
"B86032",132107.5
"J82062",132090.34
"F81115",131997.85
"N83018",131883.11
"B86036",131821.43
"L85007",131750.15
"M85070",131727.02
"D83004",131711.44
"B82098",131696.61
"M81001",131643.68
"M84018",131609.22
"H82041",131576.95
"F81153",131574.18
"A84014",131569.71
"N81127",131453.69
"N81054",131355.03
"A82007",131303.16
"B86013",131295.54
"P89008",131273.93
"P81159",131208.44
"C84078",131171.27
"P88003",131156.6
"K83037",131139.48
"H82077",131138.91
"B87028",131065.73
"E82075",131058.27
"D82065",130999.45
"N81015",130996.71
"L82041",130982.6
"G84023",130978.21
"A89021",130941
"E82008",130885.69
"B87030",130842.71
"J82072",130689.02
"J81047",130675.14
"L85021",130610.33
"M85038",130593.95
"B82032",130549.8
"C82029",130523.52
"M84042",130499.79
"F82030",130485.3
"H85020",130436.54
"C82042",130414.23
"N81037",130388.43
"K81067",130331.22
"B83013",130300.04
"H81024",130291.67
"A82009",130123.52
"M83023",130104.07
"H82013",130082.62
"M81020",130017.17
"H81064",130005.05
"C82011",129988.59
"C81015",129959.78
"H82060",129763.05
"E82018",129713.92
"F86012",129674.27
"P84024",129661.85
"D81029",129654.34
"J82100",129629.45
"L82022",129606.92
"H82044",129599.07
"L81038",129574.73
"C83028",129475.26
"B86081",129460.53
"F81085",129395.82
"A83052",129370.69
"D82023",129334.68
"C85030",129295.93
"M84051",129277.69
"J82135",129233.9
"M88012",129227.74
"F81021",129145.77
"G82079",129118.65
"D81050",129109.21
"M85034",129028.04
"C82068",129012.59
"L83072",128976.74
"M89010",128964.43
"E84057",128944.47
"E84061",128906.64
"L82029",128888.76
"E81018",128882.84
"B86022",128876.2
"F81127",128865.1
"K83066",128859.97
"C83010",128752.83
"J82063",128742.96
"C86024",128742.19
"M85020",128721.44
"D81010",128717.87
"N81088",128693.21
"L83048",128593.7
"B87029",128525.26
"J83019",128515.74
"C82037",128462.88
"P86009",128432.5
"F81118",128373.1
"G82115",128346.56
"C82039",128304.94
"L83100",128197.58
"L81054",128196.84
"F81026",128080.37
"D82025",128064.05
"G82082",128047.68
"M83022",128015.66
"K84017",127944.03
"F86036",127896.27
"K83013",127881.91
"A86018",127851.79
"F81212",127850.49
"M82016",127849.16
"L83069",127791.75
"K83064",127727.85
"C85017",127678.84
"G83018",127626.09
"A88007",127611.73
"M84003",127551.32
"L81063",127534.64
"G81046",127522.27
"F81095",127499.34
"N81077",127499.14
"K82026",127455.72
"M82005",127397.71
"N83022",127341.96
"L83011",127333.37
"C87030",127200.15
"F81001",127144.11
"F81681",127137.83
"C81008",127094.23
"L81033",127079.64
"H81068",127078.54
"P88007",127025.24
"G83005",127003.47
"A83046",126978.5
"B83037",126973.78
"P89006",126917.58
"M81032",126865.09
"H81075",126826.42
"A83041",126773.77
"L81046",126741.87
"P84072",126738
"A82033",126734.03
"D82084",126719.94
"B86024",126706.71
"B86002",126697.85
"N81024",126636.87
"C84035",126507.53
"Y00969",126491.9
"G81025",126447.04
"D83021",126419.47
"C81035",126415.2
"F85008",126414.14
"M81075",126398.55
"J83037",126359.98
"J82145",126354.28
"C86020",126338.61
"L82050",126295.13
"N81008",126290.02
"C88038",126277.49
"D81026",126242.91
"B83023",126224.37
"N81002",126221.3
"E82083",126209.88
"G82073",126173.19
"P81191",126167.73
"B82007",126118
"N83023",126110.7
"L81013",126070.6
"D83079",126026.98
"C85014",126000.2
"D81052",125922.54
"M88020",125892.52
"J81046",125870.05
"G81032",125865.62
"M87023",125834.08
"F84004",125728.27
"C82053",125709.27
"H81080",125656.58
"D81048",125603.39
"P86008",125601.87
"M81054",125497.52
"L83017",125463.67
"G85022",125443.23
"J82058",125436.81
"L85009",125434.54
"H82047",125407.32
"M82021",125384.85
"N84018",125384.82
"P81099",125384.72
"C81045",125321.78
"P81185",125319.32
"M84022",125217.43
"E84068",125194.2
"L83051",125187.3
"C81041",125184.02
"M82002",125177.38
"F81089",125152.31
"P83012",125122.8
"F81117",125076.33
"C83085",125062.51
"H82059",125045.91
"G81059",125015.35
"M89012",125004.44
"L84034",124824.93
"E81029",124823.07
"K81004",124799.4
"A87016",124763.75
"J83010",124722.79
"K83044",124717.93
"M82038",124713.15
"J82034",124712.9
"C81073",124684.13
"H82012",124644.35
"D82015",124592.46
"N81114",124558.26
"E82115",124536.21
"D82050",124524.99
"P81133",124502.95
"E85029",124475.24
"Y02322",124472.51
"A85019",124458.44
"M88009",124433.81
"E82124",124431.51
"M83057",124413.09
"J82002",124408.98
"M89008",124373.37
"G82809",124359.67
"F81636",124350.54
"F81019",124335.91
"C83004",124327.01
"L81060",124317.7
"C81020",124282.4
"N81634",124164.09
"M82059",124161.75
"G85053",124149.21
"M91616",124144.71
"D83047",124135.39
"F81057",124100.65
"M81037",124090.21
"E83018",124088.71
"J81002",124085.89
"M85018",124071.88
"M84035",123987.07
"B82008",123966.36
"E82089",123913.06
"F84006",123908.43
"E81011",123840.9
"C88092",123828.12
"P84043",123776.66
"L84040",123747.97
"N81039",123739.27
"G83001",123722.83
"L85002",123703.67
"C86017",123681.1
"N85012",123672.55
"H81025",123660.31
"G83680",123632.64
"F82007",123624.18
"H82036",123613
"C88005",123605.8
"B85041",123580.38
"H82083",123573.8
"J83014",123548.15
"H85105",123534.86
"P88026",123501.78
"L84038",123490.78
"G82016",123461.46
"A83031",123426.77
"K81027",123425.52
"G81099",123398.12
"L83085",123386.29
"H85012",123358.26
"H81088",123284.69
"A84021",123258.98
"B82004",123246.84
"N82110",123216.89
"C84048",123194.62
"L83037",123168.06
"H81067",123110.96
"K84052",123088.15
"A81004",123030.08
"M89009",122942.61
"F81083",122854.49
"P84004",122848.59
"L81074",122834.08
"B83040",122822.5
"L81118",122815.04
"M83146",122784.53
"N81060",122774.66
"L83032",122714.09
"J83002",122697.15
"F81108",122692.66
"G81100",122690.21
"P81059",122689.47
"M91015",122685.42
"P83603",122642.72
"F82009",122523.51
"C84107",122512.59
